NOTE: the film was annealed, Temperature and rates are not reported in the article

Thick: 3.96

wl	n
0.470	2.03753802
0.475	2.04578719
0.480	2.05728911
0.485	2.07218053
0.490	2.09052059
0.495	2.11229443
0.500	2.13741917
0.505	2.16575198
0.510	2.19710012
0.515	2.23123235
0.520	2.26789079
0.525	2.30680269
0.530	2.34769107
0.535	2.39028388
0.540	2.43432128
0.545	2.47956084
0.550	2.52578100
0.555	2.57278277
0.560	2.62039019
0.565	2.66844978
0.570	2.71682926
0.575	2.76541591
0.580	2.81411468
0.585	2.86284620
0.590	2.91154488
0.595	2.96015708
0.600	3.00863945
0.605	3.05695739
0.610	3.10508375
0.615	3.15299765
0.620	3.20068345
0.625	3.24812989
0.630	3.29532933
0.635	3.34227713
0.640	3.38897108
0.645	3.43541098
0.650	3.48159826
0.655	3.52753560
0.660	3.57322673
0.665	3.61867619
0.670	3.66388910
0.675	3.70887106
0.680	3.75362800
0.685	3.79816608
0.690	3.84249159
0.695	3.88661088
0.700	3.93053035
0.705	3.97425633
0.710	4.01779509
0.715	4.06115280
0.720	4.10433553
0.725	4.14734917
0.730	4.19019949
0.735	4.23289209
0.740	4.27543239
0.745	4.31782564
0.750	4.36007695
0.755	4.40219119
0.760	4.44417313
0.765	4.48602730
0.770	4.52775812
0.775	4.56936980
0.780	4.61086642
0.785	4.65225188
0.790	4.69352994
0.795	4.73470422
0.800	4.77577819
0.805	4.81675516
0.810	4.85763836
0.815	4.89843084
0.820	4.93913556
0.825	4.97975535
0.830	5.02029293
0.835	5.06075091
0.840	5.10113179
0.845	5.14143800
0.850	5.18167182
0.855	5.22183550
0.860	5.26193116
0.865	5.30196085
0.870	5.34192655
0.875	5.38183014
0.880	5.42167345
0.885	5.46145822
0.890	5.50118614
0.895	5.54085883
0.900	5.58047785
0.905	5.62004468
0.910	5.65956078
0.915	5.69902754
0.920	5.73844629
0.925	5.77781831
0.930	5.81714485
0.935	5.85642711
0.940	5.89566623
0.945	5.93486333
0.950	5.97401947
0.955	6.01313570
0.960	6.05221300
0.965	6.09125233
0.970	6.13025463
0.975	6.16922080
0.980	6.20815169
0.985	6.24704814
0.990	6.28591096
0.995	6.32474093
1.000	6.36353881
1.005	6.40230532
1.010	6.44104117
1.015	6.47974704
1.020	6.51842359
1.025	6.55707146
1.030	6.59569127
1.035	6.63428363
1.040	6.67284909
1.045	6.71138824
1.050	6.74990162
1.055	6.78838975
1.060	6.82685314
1.065	6.86529229
1.070	6.90370769
1.075	6.94209979
1.080	6.98046906
1.085	7.01881593
1.090	7.05714083
1.095	7.09544417
1.100	7.13372635
1.105	7.17198778
1.110	7.21022882
1.115	7.24844985
1.120	7.28665123
1.125	7.32483330
1.130	7.36299640
1.135	7.40114087
1.140	7.43926703
1.145	7.47737518
1.150	7.51546565
1.155	7.55353871
1.160	7.59159466
1.165	7.62963378
1.170	7.66765634
1.175	7.70566262
1.180	7.74365286
1.185	7.78162734
1.190	7.81958628
1.195	7.85752994
1.200	7.89545854
1.205	7.93337233
1.210	7.97127151
1.215	8.00915632
1.220	8.04702696
1.225	8.08488364
1.230	8.12272657
1.235	8.16055594
1.240	8.19837195
1.245	8.23617478
1.250	8.27336242
1.255	8.31023122
1.260	8.34707865
1.265	8.38390485
1.270	8.42070998
1.275	8.45749416
1.280	8.49425754
1.285	8.53100026
1.290	8.56772243
1.295	8.60442420
1.300	8.64110567
1.305	8.67776698
1.310	8.71440823
1.315	8.75102955
1.320	8.78763104
1.325	8.82421282
1.330	8.86077498
1.335	8.89731764
1.340	8.93384088
1.345	8.97034482
1.350	9.00682954
1.355	9.04329515
1.360	9.07974172
1.365	9.11616936
1.370	9.15257814
1.375	9.18896815
1.380	9.22533947
1.385	9.26169219
1.390	9.29802638
1.395	9.33434211
1.400	9.37063947
1.405	9.40691853
1.410	9.44317936
1.415	9.47942202
1.420	9.51564659
1.425	9.55185313
1.430	9.58804171
1.435	9.62421239
1.440	9.66036522
1.445	9.69650028
1.450	9.73261762
1.455	9.76871730
1.460	9.80479937
1.465	9.84086389
1.470	9.87691091
1.475	9.91294049
1.480	9.94895267
1.485	9.98494750
1.490	10.02092504
1.495	10.05688533
1.500	10.09282842
