Thick: 4.1


wl	n
1.27	6.491
1.28	6.545
1.29	6.601
1.3	6.655
1.31	6.714
1.32	6.768
1.33	6.812
1.34	6.862
1.35	6.915
1.36	6.961
1.37	7.015
1.38	7.059
1.39	7.097
1.4	7.137
1.41	7.196
1.42	7.256
1.43	7.305
1.44	7.346
1.45	7.389
1.46	7.432
1.47	7.478
1.48	7.527
1.49	7.570
1.5	7.607
1.51	7.650
1.52	7.693
1.53	7.734
1.54	7.778
1.55	7.820
1.56	7.863
1.57	7.903
1.58	7.942
1.59	7.989
1.6	8.033
1.61	8.075
1.62	8.119
1.63	8.165
1.64	8.207
1.65	8.256
1.66	8.300
1.67	8.344
1.68	8.384
1.69	8.426
1.7	8.467
1.71	8.507
1.72	8.554
1.73	8.597
1.74	8.640
1.75	8.683
1.76	8.725
1.77	8.765
1.78	8.809
1.79	8.855
1.8	8.894
1.81	8.937
1.82	8.982
1.83	9.032
1.84	9.078
1.85	9.125
1.86	9.173
1.87	9.219
1.88	9.265
1.89	9.308
1.9	9.355
1.91	9.407
1.92	9.457
1.93	9.505
1.94	9.553
1.95	9.566
1.96	9.601
1.97	9.721
1.98	9.767
1.99	9.818
2	9.852
2.01	9.896
2.02	9.947
2.03	9.972
2.04	10.035
2.05	10.079
2.06	10.127
2.07	10.184
2.08	10.235
2.09	10.271
2.1	10.310
2.11	10.385
2.12	10.442
2.13	10.507
2.14	10.551
2.15	10.596
2.16	10.639
2.17	10.689
2.18	10.739
2.19	10.777
2.2	10.820
2.21	10.875
2.22	10.942
2.23	10.990
2.24	11.042
2.25	11.094
2.26	11.138
2.27	11.192
2.28	11.251
2.29	11.305
2.3	11.359
2.31	11.394
2.32	11.431
2.33	11.470
2.34	11.524
2.35	11.574
2.36	11.619
2.37	11.662
2.38	11.716
2.39	11.774
2.4	11.834
2.41	11.874
2.42	11.924
2.43	11.990
2.44	12.057
2.45	12.107
2.46	12.149
2.47	12.200
2.48	12.250
2.49	12.293
2.5	12.346
